team_id,games,wins,losses,scores,scoring_points,one_point_goals,two_point_goals,goals,assists,shots,shots_on_goal,two_point_shots,ground_balls,turnovers,caused_turnovers,saves,faceoffs_won,faceoffs_lost,faceoffs,total_clears,failed_clears,clear_attempts,touches,total_passes,time_in_possession,time_in_possession_pct,total_possessions,official_total_possessions,offensive_sequence_proxy,team_name,split_type,win_pct,scores_per_game,scoring_points_per_game,one_point_goals_per_game,two_point_goals_per_game,goals_per_game,assists_per_game,shots_per_game,shots_on_goal_per_game,two_point_shots_per_game,ground_balls_per_game,turnovers_per_game,caused_turnovers_per_game,saves_per_game,faceoffs_won_per_game,faceoffs_lost_per_game,faceoffs_per_game,total_clears_per_game,failed_clears_per_game,clear_attempts_per_game,touches_per_game,total_passes_per_game,time_in_possession_per_game,total_possessions_per_game,official_total_possessions_per_game,offensive_sequence_proxy_per_game,shot_pct_calc,shot_pct,scores_per_shot,shots_on_goal_rate_calc,faceoff_pct_calc,faceoff_pct,clear_pct_calc,clear_pct,save_pct_proxy,def_save_pct_proxy,time_in_possession_mmss,time_in_possession_per_game_mmss,possession_pg
ARC,49,31,18,593,593,517,38,555,298,1956,1215,261,1548,870,328,672,585,632,1230,1502,0.0,1525,12714,9888,0.0,0.0,1837,0.0,2826,Archers,career,0.6326530612244898,12.10204081632653,12.10204081632653,10.551020408163266,0.7755102040816326,11.326530612244898,6.081632653061225,39.91836734693877,24.79591836734694,5.326530612244898,31.591836734693878,17.755102040816325,6.6938775510204085,13.714285714285714,11.938775510204081,12.89795918367347,25.102040816326532,30.653061224489797,0.0,31.122448979591837,259.46938775510205,201.79591836734693,0.0,37.48979591836735,0.0,57.673469387755105,0.2837423312883436,0.2837423312883436,0.30316973415132925,0.6211656441717791,0.47560975609756095,0.47560975609756095,0.9849180327868853,0.9849180327868853,,,0:00,0:00,0:00
ATL,48,26,22,632,632,552,40,592,354,2003,1283,262,1757,902,315,634,849,485,1341,1502,0.0,1533,12563,9658,0.0,0.0,1935,0.0,2905,Atlas,career,0.5416666666666666,13.166666666666666,13.166666666666666,11.5,0.8333333333333334,12.333333333333334,7.375,41.729166666666664,26.729166666666668,5.458333333333333,36.604166666666664,18.791666666666668,6.5625,13.208333333333334,17.6875,10.104166666666666,27.9375,31.291666666666668,0.0,31.9375,261.7291666666667,201.20833333333334,0.0,40.3125,0.0,60.520833333333336,0.2955566650024963,0.2955566650024963,0.31552670993509735,0.6405391912131803,0.6331096196868009,0.6331096196868009,0.9797782126549249,0.9797782126549249,,,0:00,0:00,0:00
CAN,46,21,25,570,570,470,50,520,287,1871,1167,277,1328,721,365,594,456,780,1242,1296,0.0,1321,12067,9475,0.0,0.0,1619,0.0,2592,Cannons,career,0.45652173913043476,12.391304347826088,12.391304347826088,10.217391304347826,1.0869565217391304,11.304347826086957,6.239130434782608,40.67391304347826,25.369565217391305,6.021739130434782,28.869565217391305,15.673913043478262,7.934782608695652,12.91304347826087,9.91304347826087,16.956521739130434,27.0,28.17391304347826,0.0,28.717391304347824,262.32608695652175,205.97826086956522,0.0,35.19565217391305,0.0,56.34782608695652,0.27792624265098875,0.27792624265098875,0.30464991982896844,0.623730625334046,0.3671497584541063,0.3671497584541063,0.9810749432248297,0.9810749432248297,,,0:00,0:00,0:00
CHA,50,21,29,524,524,476,24,500,262,1892,1173,229,1408,898,288,711,565,649,1222,1490,0.0,1521,12623,9833,0.0,0.0,1648,0.0,2790,Chaos,career,0.42,10.48,10.48,9.52,0.48,10.0,5.24,37.84,23.46,4.58,28.16,17.96,5.76,14.22,11.3,12.98,24.44,29.8,0.0,30.42,252.46,196.66,0.0,32.96,0.0,55.8,0.2642706131078224,0.2642706131078224,0.2769556025369979,0.6199788583509513,0.4623567921440262,0.4623567921440262,0.9796186719263642,0.9796186719263642,,,0:00,0:00,0:00
OUT,47,22,25,512,512,448,32,480,256,1881,1160,241,1398,803,303,553,567,582,1156,1368,0.0,1393,12682,9998,0.0,0.0,1709,0.0,2684,Outlaws,career,0.46808510638297873,10.893617021276595,10.893617021276595,9.53191489361702,0.6808510638297872,10.212765957446809,5.446808510638298,40.02127659574468,24.680851063829788,5.127659574468085,29.74468085106383,17.085106382978722,6.446808510638298,11.76595744680851,12.063829787234043,12.382978723404255,24.595744680851062,29.106382978723403,0.0,29.638297872340427,269.82978723404256,212.72340425531914,0.0,36.361702127659576,0.0,57.1063829787234,0.2551834130781499,0.2551834130781499,0.27219564061669327,0.6166932482721956,0.49048442906574397,0.49048442906574397,0.9820531227566404,0.9820531227566404,,,0:00,0:00,0:00
RED,48,22,26,534,534,454,40,494,244,1960,1185,281,1541,865,338,563,702,530,1238,1397,0.0,1428,12730,9905,0.0,0.0,1612,0.0,2825,Redwoods,career,0.4583333333333333,11.125,11.125,9.458333333333334,0.8333333333333334,10.291666666666666,5.083333333333333,40.833333333333336,24.6875,5.854166666666667,32.104166666666664,18.020833333333332,7.041666666666667,11.729166666666666,14.625,11.041666666666666,25.791666666666668,29.104166666666668,0.0,29.75,265.2083333333333,206.35416666666666,0.0,33.583333333333336,0.0,58.854166666666664,0.25204081632653064,0.25204081632653064,0.2724489795918367,0.6045918367346939,0.567043618739903,0.567043618739903,0.9782913165266106,0.9782913165266106,,,0:00,0:00,0:00
WAT,51,25,26,636,636,548,44,592,344,2162,1393,260,1610,804,392,638,542,819,1375,1525,0.0,1554,13050,10084,0.0,0.0,1737,0.0,2966,Waterdogs,career,0.49019607843137253,12.470588235294118,12.470588235294118,10.745098039215685,0.8627450980392157,11.607843137254902,6.745098039215686,42.3921568627451,27.313725490196077,5.098039215686274,31.568627450980394,15.764705882352942,7.686274509803922,12.509803921568627,10.627450980392156,16.058823529411764,26.96078431372549,29.901960784313726,0.0,30.470588235294116,255.88235294117646,197.72549019607843,0.0,34.05882352941177,0.0,58.15686274509804,0.2738205365402405,0.2738205365402405,0.29417206290471787,0.6443108233117484,0.3941818181818182,0.3941818181818182,0.9813384813384813,0.9813384813384813,,,0:00,0:00,0:00
WHP,49,26,23,600,600,518,41,559,272,2069,1313,242,1609,857,298,616,737,526,1276,1534,0.0,1562,12656,9730,0.0,0.0,1869,0.0,2926,Whipsnakes,career,0.5306122448979592,12.244897959183673,12.244897959183673,10.571428571428571,0.8367346938775511,11.408163265306122,5.551020408163265,42.224489795918366,26.79591836734694,4.938775510204081,32.83673469387755,17.489795918367346,6.081632653061225,12.571428571428571,15.040816326530612,10.73469387755102,26.040816326530614,31.306122448979593,0.0,31.877551020408163,258.2857142857143,198.57142857142858,0.0,38.142857142857146,0.0,59.714285714285715,0.27017883035282747,0.27017883035282747,0.28999516674722087,0.6346060898985016,0.5775862068965517,0.5775862068965517,0.9820742637644047,0.9820742637644047,,,0:00,0:00,0:00
ASA,1,0,1,13,12,12,0,12,8,45,30,9,33,23,4,17,18,19,38,29,0.0,29,68,0,0.0,0.0,59,0.0,68,,career,0.0,13.0,12.0,12.0,0.0,12.0,8.0,45.0,30.0,9.0,33.0,23.0,4.0,17.0,18.0,19.0,38.0,29.0,0.0,29.0,68.0,0.0,0.0,59.0,0.0,68.0,0.26666666666666666,0.26666666666666666,0.28888888888888886,0.6666666666666666,0.47368421052631576,0.47368421052631576,1.0,1.0,,,0:00,0:00,0:00
ASE,2,0,1,28,28,22,3,25,14,106,67,27,84,46,16,39,27,30,57,77,0.0,79,605,453,0.0,0.0,56,0.0,152,,career,0.0,14.0,14.0,11.0,1.5,12.5,7.0,53.0,33.5,13.5,42.0,23.0,8.0,19.5,13.5,15.0,28.5,38.5,0.0,39.5,302.5,226.5,0.0,28.0,0.0,76.0,0.2358490566037736,0.2358490566037736,0.2641509433962264,0.6320754716981132,0.47368421052631576,0.47368421052631576,0.9746835443037974,0.9746835443037974,,,0:00,0:00,0:00
